particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,-0.451456428,3.0444963,-0.0317765176,0.105658367,-1
4503599660924928,13,0,0,0,0,0,-2.72783422,0.839466155,-0.465683162,0.105658367,-1
4503599677702144,13,0,0,0,0,0,5.20598364,6.77205324,2.20964551,0.105658367,-1
4503599694479360,13,0,0,0,0,0,-0.780209303,-9.50900936,1.23642588,0.105658367,-1
4503599711256576,13,0,0,0,0,0,5.90306807,6.04824448,2.82124639,0.105658367,-1
4503599728033792,13,0,0,0,0,0,7.46252966,3.14543247,2.26055765,0.105658367,-1
4503599744811008,13,0,0,0,0,0,3.81246495,9.1346302,-0.431659341,0.105658367,-1
4503599761588224,13,0,0,0,0,0,-0.115705401,5.18089485,2.56776738,0.105658367,-1
4503599778365440,13,0,0,0,0,0,-0.296232969,-8.20371151,-0.523602366,0.105658367,-1
4503599795142656,13,0,0,0,0,0,-2.27925014,-1.54388976,0.899990439,0.105658367,-1
4503599811919872,13,0,0,0,0,0,8.22375584,-2.92801285,0.111782454,0.105658367,-1
4503599828697088,13,0,0,0,0,0,1.48308027,8.91638851,0.487116098,0.105658367,-1
4503599845474304,13,0,0,0,0,0,-0.930433929,1.21743166,-0.0139814755,0.105658367,-1
4503599862251520,13,0,0,0,0,0,0.990786195,-0.631374478,-0.0590601861,0.105658367,-1
4503599879028736,13,0,0,0,0,0,-1.88453066,6.84845686,-0.271098077,0.105658367,-1
4503599895805952,13,0,0,0,0,0,-4.18321085,5.28996134,0.850853682,0.105658367,-1
4503599912583168,13,0,0,0,0,0,-1.42372954,-1.90644252,-0.0812364593,0.105658367,-1
4503599929360384,13,0,0,0,0,0,6.05939436,1.60802853,-0.0259848982,0.105658367,-1
4503599946137600,13,0,0,0,0,0,-6.04981565,3.36496711,1.00613487,0.105658367,-1
4503599962914816,13,0,0,0,0,0,-4.42779398,-5.403162,1.97492635,0.105658367,-1
4503599979692032,13,0,0,0,0,0,0.705787063,1.8819983,-0.310038179,0.105658367,-1
4503599996469248,13,0,0,0,0,0,5.52744532,1.3057698,1.05233967,0.105658367,-1
4503600013246464,13,0,0,0,0,0,6.63542223,3.10035419,1.33612061,0.105658367,-1
4503600030023680,13,0,0,0,0,0,2.85209179,-3.79544353,-1.00687754,0.105658367,-1
4503600046800896,13,0,0,0,0,0,2.84182334,-6.07210112,-1.74695623,0.105658367,-1
